orgId,scheduleId,classId,className,classType,programId,lessonPlanId,startAt,dueAt,ageRangeIds,ageRangeNames,gradeIds,gradeNames,subjectIds,subjectNames,studentIds,totalActivities
b4e517f0-e128-4c57-9cfa-265401fe3959,60e6b82246a0f3644ee6372f,1ce369c5-e086-4aa1-996a-8d49a272e066,School 1 - Class B1,live,75004121-0c0d-486c-ba65-4c57deacb44b,60e6b7cc46a0f3644ee636c9,1625733600,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,dea274bc-1eac-47b0-90ce-0eb1718c14b8;035503dd-934d-4d48-b903-2f6ebd6ab8b7;15b1d313-9ffe-4910-bd1d-f72f6dcdc4a5;47f19b47-29e7-4a1d-a366-353489cf33f5;87b32b1a-b100-439a-bcc8-69ccc9f95998;d0864ea7-2b06-4914-ba6f-680ad25b8e43;0360e93c-bbdf-4d33-a87f-e2be7f2798e5;74ebccfa-3b30-413d-96f7-e16021295dc4;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;d447f68e-3900-4651-9dee-1328b67dcc4e,15
b4e517f0-e128-4c57-9cfa-265401fe3959,60e6c30446a0f3644ee63c67,1ce369c5-e086-4aa1-996a-8d49a272e066,School 1 - Class B1,study,75004121-0c0d-486c-ba65-4c57deacb44b,60e6c27a46a0f3644ee63c00,0,1625849999,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,035503dd-934d-4d48-b903-2f6ebd6ab8b7;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;0360e93c-bbdf-4d33-a87f-e2be7f2798e5;d447f68e-3900-4651-9dee-1328b67dcc4e;d0864ea7-2b06-4914-ba6f-680ad25b8e43;15b1d313-9ffe-4910-bd1d-f72f6dcdc4a5;47f19b47-29e7-4a1d-a366-353489cf33f5;74ebccfa-3b30-413d-96f7-e16021295dc4;87b32b1a-b100-439a-bcc8-69ccc9f95998;dea274bc-1eac-47b0-90ce-0eb1718c14b8,15
b4e517f0-e128-4c57-9cfa-265401fe3959,60e7bb6546a0f3644ee63fb8,1ce369c5-e086-4aa1-996a-8d49a272e066,School 1 - Class B1,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60e2bdf447432f6c49f4cb48,1625800500,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,d447f68e-3900-4651-9dee-1328b67dcc4e;d0864ea7-2b06-4914-ba6f-680ad25b8e43;87b32b1a-b100-439a-bcc8-69ccc9f95998;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;47f19b47-29e7-4a1d-a366-353489cf33f5;035503dd-934d-4d48-b903-2f6ebd6ab8b7;0360e93c-bbdf-4d33-a87f-e2be7f2798e5;dea274bc-1eac-47b0-90ce-0eb1718c14b8;15b1d313-9ffe-4910-bd1d-f72f6dcdc4a5;74ebccfa-3b30-413d-96f7-e16021295dc4,15
b4e517f0-e128-4c57-9cfa-265401fe3959,60e7f01646a0f3644ee64124,5f668d82-255c-4971-8d3d-9d3b205ace18,School 1 - Class A1,live,75004121-0c0d-486c-ba65-4c57deacb44b,60e6b7cc46a0f3644ee636c9,1625813400,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,bcef0348-ccd8-43c6-b0e7-abcad7a461b3;87b32b1a-b100-439a-bcc8-69ccc9f95998;47f19b47-29e7-4a1d-a366-353489cf33f5;74ebccfa-3b30-413d-96f7-e16021295dc4;dea274bc-1eac-47b0-90ce-0eb1718c14b8,15
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60ec5a13940c19a3552c7924,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,5ff683677c763b6b91bea7fc,1626102900,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,08d62a2c-2bc2-4238-81ad-664d29fad992;23a628c3-020e-4eb6-8043-ad5c6d8252cf;e6c40dad-10f7-54bb-b988-c6b1b2d6f426;5da054e2-18e1-47ab-8f44-c8097fcf9571;f21888a0-ebc1-438f-bc85-b623aa36d395;735de445-68c4-4d75-9184-a93065c416d8;64f736fa-a467-518b-8d94-b17ad55646c0;fe16942d-48e1-5b50-a145-bd312afc51da;88cf8673-a1cc-46e8-9911-50599a1368d0;76b93a15-fccb-47c8-a753-912def8f4569;662a3a1a-0822-4c72-9e8f-80b4bec3dcab;bb8f32c7-7a9b-447c-909b-dd45b3af0515;89608cd8-35d3-4c8c-bef5-087635a21ac1;d3cd7771-a101-43d7-86d8-c5567e371fd9;75f59f5c-f6bf-4541-96a7-a0dc5df31afe;1212df3a-214a-4be0-af2f-9f19fa5721e9;4ff0710e-7f9c-4faa-ad05-5b3e375f5eac;a3d3fc11-6ada-426b-a816-6974b598c1fe;e4f14acd-0d87-4d2c-b89b-804676f0d1ab;7e3dbb6f-9781-475b-9fa9-e67ea5017f96;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;580b89cc-2683-45b2-83bc-de5d50b4b1d9;98179ccb-4208-5c4e-995a-303110e42281;7d3be47f-f3cc-418c-aa3a-50d086b48109;50615813-861c-41e2-ac36-3e5c72cdd394;5a3619fc-e7bb-4a55-97c6-c1113f4fb8ef;976e0a28-7548-4af6-9470-d24509e5e964;1fef5d29-50e5-4513-879b-e5db5f3f6502;2edce478-0cce-4553-9664-df0f0a9874a8;52995881-1c79-4b83-8ac4-d77cf7bcf6bc;7793999a-73bf-4947-92b7-38d6514b3fe7;45ac2f30-3995-4c5a-af61-873563d771d5;0ebc17b1-d2e6-4f19-adc7-2a2928b31530;d58b10f2-a26e-47b7-a6c2-e615bb65fdf4,8
b4e517f0-e128-4c57-9cfa-265401fe3959,60ed597d7e01f8cc253b2a24,5f668d82-255c-4971-8d3d-9d3b205ace18,School 1 - Class A1,live,75004121-0c0d-486c-ba65-4c57deacb44b,60ebc10e940c19a3552c568e,1626168600,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,87b32b1a-b100-439a-bcc8-69ccc9f95998;dea274bc-1eac-47b0-90ce-0eb1718c14b8;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;47f19b47-29e7-4a1d-a366-353489cf33f5;74ebccfa-3b30-413d-96f7-e16021295dc4,16
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60ee78327e01f8cc253b3800,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,75004121-0c0d-486c-ba65-4c57deacb44b,600e3d3a9d9087b6043fbd54,1626241200,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;fe16942d-48e1-5b50-a145-bd312afc51da,9
b4e517f0-e128-4c57-9cfa-265401fe3959,60efc33f7e01f8cc253b703f,048d3c49-261c-45b5-a215-e42d28e56d6e,NCE 01,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60eead167e01f8cc253b65a4,1626330600,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,ddeacaf7-fa79-4e81-91ce-cc5e7c4d9b2f;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;f323590a-4542-4d3a-96f3-12bcfb53cd58;aa41fe5c-620d-4070-8a52-1afc3e98a43c;a021ecd3-4d87-462a-bb7c-4dc1d8331ccc;b34bb8f8-b5ac-47a6-940d-20a660ca6d7c;c109383d-6ff3-4761-8ddc-019a8b2c9068;5bfbf361-36fd-4604-88a6-ab00e5f37938;7c26a76f-98f3-4564-ac07-6c4c7c3fd603;50d7ef90-5b2a-41ee-809f-bb21d9b80f99,22
b4e517f0-e128-4c57-9cfa-265401fe3959,60efc3897e01f8cc253b7065,9a2a0026-ad44-4ff7-8c7a-d646554fb263,NCE 02,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60eead167e01f8cc253b65a4,1626337800,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,971316e9-3147-419a-b704-f652412854bf;67df1a22-b085-410a-a5d8-e61d95bdfdf4;aa41fe5c-620d-4070-8a52-1afc3e98a43c;e161471a-8031-4ecc-9b37-24efda75f74e;73a40a35-93eb-42a2-a7c4-4bcc5b28e51a;fed694b9-ac19-442b-9f89-e560c8a47ef8;3b94d1af-17f0-444d-b83e-6302694c847b;bcef0348-ccd8-43c6-b0e7-abcad7a461b3;e1a1e052-c9d5-4896-8811-0af8392bb3b1;da4b7adc-628f-4f10-99e1-19d5c18cb597,22
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f004a3c73cc5079f0a871d,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,75004121-0c0d-486c-ba65-4c57deacb44b,60ee87177e01f8cc253b4d4f,1626345000,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,e4f14acd-0d87-4d2c-b89b-804676f0d1ab;23a628c3-020e-4eb6-8043-ad5c6d8252cf;4ff0710e-7f9c-4faa-ad05-5b3e375f5eac;1fef5d29-50e5-4513-879b-e5db5f3f6502;fe16942d-48e1-5b50-a145-bd312afc51da;5a3619fc-e7bb-4a55-97c6-c1113f4fb8ef;08d62a2c-2bc2-4238-81ad-664d29fad992;7793999a-73bf-4947-92b7-38d6514b3fe7;662a3a1a-0822-4c72-9e8f-80b4bec3dcab;a3d3fc11-6ada-426b-a816-6974b598c1fe;45ac2f30-3995-4c5a-af61-873563d771d5;0ebc17b1-d2e6-4f19-adc7-2a2928b31530;7d3be47f-f3cc-418c-aa3a-50d086b48109;5da054e2-18e1-47ab-8f44-c8097fcf9571;64f736fa-a467-518b-8d94-b17ad55646c0;50615813-861c-41e2-ac36-3e5c72cdd394;1212df3a-214a-4be0-af2f-9f19fa5721e9;d58b10f2-a26e-47b7-a6c2-e615bb65fdf4;e6c40dad-10f7-54bb-b988-c6b1b2d6f426;d3cd7771-a101-43d7-86d8-c5567e371fd9;7e3dbb6f-9781-475b-9fa9-e67ea5017f96;75f59f5c-f6bf-4541-96a7-a0dc5df31afe;bb8f32c7-7a9b-447c-909b-dd45b3af0515;76b93a15-fccb-47c8-a753-912def8f4569;52995881-1c79-4b83-8ac4-d77cf7bcf6bc;f21888a0-ebc1-438f-bc85-b623aa36d395;580b89cc-2683-45b2-83bc-de5d50b4b1d9;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;976e0a28-7548-4af6-9470-d24509e5e964;2edce478-0cce-4553-9664-df0f0a9874a8;98179ccb-4208-5c4e-995a-303110e42281;735de445-68c4-4d75-9184-a93065c416d8;89608cd8-35d3-4c8c-bef5-087635a21ac1;88cf8673-a1cc-46e8-9911-50599a1368d0,13
b4e517f0-e128-4c57-9cfa-265401fe3959,60f00eb9c73cc5079f0a8813,c740f8a2-93a8-4712-8f15-b8664881218d,NCE 05,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60eead167e01f8cc253b65a4,1626404400,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,5cbb1473-86b6-4394-a13d-683372e27149;c2d52f9b-5099-4695-b9c5-171b418f5a15;e3241028-fe25-4761-bd6c-0654867905b2;3a93824d-6bf7-425d-8bf1-54f94927ee89;06796f71-f795-4936-9913-7e9a86c25832;e47705db-8c43-49cf-8c51-787cb57bedf5;aa41fe5c-620d-4070-8a52-1afc3e98a43c;dd21f537-7a7c-45d4-840f-6eda38f87443;3846e7ef-58d5-4c07-9e08-0cb610b700a1;cf32a999-7ab3-4ea5-a3e4-58df4e1fe9dc,22
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f130697e01f8cc253b82ff,53b45f78-c1e1-4c55-ade6-90a6c1ea13c0,Class1,live,7e19f8f8-d1a6-4e1d-bc3c-906b2fec6f8a,60f12ed2c73cc5079f0a960c,1626419400,0,7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),3e7979f6-7375-450a-9818-ddb09b250bb2;a9f0217d-f7ec-4add-950d-4e8986ab2c82;d7e2e258-d4b3-4e95-b929-49ae702de4be,PreK-2;Kindergarten;PreK-1,7458c758-e3ff-4c8a-8db8-98cad6f5eac7,Speaking,e6c40dad-10f7-54bb-b988-c6b1b2d6f426;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3,3
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f530cea9e834800a8a8fd6,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,75004121-0c0d-486c-ba65-4c57deacb44b,60f103c4c73cc5079f0a8fc4,1626690600,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,88cf8673-a1cc-46e8-9911-50599a1368d0;7793999a-73bf-4947-92b7-38d6514b3fe7;75f59f5c-f6bf-4541-96a7-a0dc5df31afe;d58b10f2-a26e-47b7-a6c2-e615bb65fdf4;f21888a0-ebc1-438f-bc85-b623aa36d395;5a3619fc-e7bb-4a55-97c6-c1113f4fb8ef;64f736fa-a467-518b-8d94-b17ad55646c0;662a3a1a-0822-4c72-9e8f-80b4bec3dcab;1212df3a-214a-4be0-af2f-9f19fa5721e9;2edce478-0cce-4553-9664-df0f0a9874a8;23a628c3-020e-4eb6-8043-ad5c6d8252cf;a3d3fc11-6ada-426b-a816-6974b598c1fe;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;1fef5d29-50e5-4513-879b-e5db5f3f6502;fe16942d-48e1-5b50-a145-bd312afc51da,11
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f64e062dd069c109c2d857,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,class,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,5ff683677c763b6b91bea802,1626755100,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,45ac2f30-3995-4c5a-af61-873563d771d5;fe16942d-48e1-5b50-a145-bd312afc51da;50615813-861c-41e2-ac36-3e5c72cdd394;89608cd8-35d3-4c8c-bef5-087635a21ac1,8
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f64f9e70d44dec23edf60b,53b45f78-c1e1-4c55-ade6-90a6c1ea13c0,Class1,study,75004121-0c0d-486c-ba65-4c57deacb44b,60f100ba7e01f8cc253b7b93,0,1626800399,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,df82221b-e10b-59b8-88ec-20aff87de764;fe16942d-48e1-5b50-a145-bd312afc51da;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;98179ccb-4208-5c4e-995a-303110e42281;45ac2f30-3995-4c5a-af61-873563d771d5;e6c40dad-10f7-54bb-b988-c6b1b2d6f426,13
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f653ba70d44dec23edf6e7,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,75004121-0c0d-486c-ba65-4c57deacb44b,60f11209c73cc5079f0a9109,1626756300,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,e6c40dad-10f7-54bb-b988-c6b1b2d6f426;fe16942d-48e1-5b50-a145-bd312afc51da,13
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f669cd70d44dec23edf946,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,75004121-0c0d-486c-ba65-4c57deacb44b,60f103c4c73cc5079f0a8fc4,1626777000,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,23a628c3-020e-4eb6-8043-ad5c6d8252cf;64f736fa-a467-518b-8d94-b17ad55646c0;75f59f5c-f6bf-4541-96a7-a0dc5df31afe;662a3a1a-0822-4c72-9e8f-80b4bec3dcab;fe16942d-48e1-5b50-a145-bd312afc51da;1fef5d29-50e5-4513-879b-e5db5f3f6502;5a3619fc-e7bb-4a55-97c6-c1113f4fb8ef;f21888a0-ebc1-438f-bc85-b623aa36d395;976e0a28-7548-4af6-9470-d24509e5e964;7793999a-73bf-4947-92b7-38d6514b3fe7;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;a3d3fc11-6ada-426b-a816-6974b598c1fe;1212df3a-214a-4be0-af2f-9f19fa5721e9;88cf8673-a1cc-46e8-9911-50599a1368d0;2edce478-0cce-4553-9664-df0f0a9874a8;d58b10f2-a26e-47b7-a6c2-e615bb65fdf4;580b89cc-2683-45b2-83bc-de5d50b4b1d9,11
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f687262dd069c109c2e2f5,53b45f78-c1e1-4c55-ade6-90a6c1ea13c0,Class1,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60f67d532dd069c109c2e073,1626770160,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,e6c40dad-10f7-54bb-b988-c6b1b2d6f426;98179ccb-4208-5c4e-995a-303110e42281,20
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f6c26c2dd069c109c2f064,53b45f78-c1e1-4c55-ade6-90a6c1ea13c0,Class1,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,5ff683677c763b6b91bea801,1626784740,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;98179ccb-4208-5c4e-995a-303110e42281;fe16942d-48e1-5b50-a145-bd312afc51da;e6c40dad-10f7-54bb-b988-c6b1b2d6f426;45ac2f30-3995-4c5a-af61-873563d771d5,8
9d42af2a-d943-4bb7-84d8-9e2e28b0e290,60f6c2a5a6737e546a9c7ef9,a2fb5112-af97-426e-99ad-b2e27ab3a4f1,Class test Capacity,live,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,5ff683677c763b6b91bea802,1626784740,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,76b93a15-fccb-47c8-a753-912def8f4569;e6c40dad-10f7-54bb-b988-c6b1b2d6f426;98179ccb-4208-5c4e-995a-303110e42281;45ac2f30-3995-4c5a-af61-873563d771d5;89608cd8-35d3-4c8c-bef5-087635a21ac1;976e0a28-7548-4af6-9470-d24509e5e964;d58b10f2-a26e-47b7-a6c2-e615bb65fdf4;5da054e2-18e1-47ab-8f44-c8097fcf9571;08d62a2c-2bc2-4238-81ad-664d29fad992;23a628c3-020e-4eb6-8043-ad5c6d8252cf;735de445-68c4-4d75-9184-a93065c416d8;1212df3a-214a-4be0-af2f-9f19fa5721e9;7e3dbb6f-9781-475b-9fa9-e67ea5017f96;1fef5d29-50e5-4513-879b-e5db5f3f6502;662a3a1a-0822-4c72-9e8f-80b4bec3dcab;52995881-1c79-4b83-8ac4-d77cf7bcf6bc;f21888a0-ebc1-438f-bc85-b623aa36d395;a3d3fc11-6ada-426b-a816-6974b598c1fe;7793999a-73bf-4947-92b7-38d6514b3fe7;4ff0710e-7f9c-4faa-ad05-5b3e375f5eac;d3cd7771-a101-43d7-86d8-c5567e371fd9;2ab5da37-b3cb-59cb-aa6a-3a0ea5b8e2a3;0ebc17b1-d2e6-4f19-adc7-2a2928b31530;7d3be47f-f3cc-418c-aa3a-50d086b48109;2edce478-0cce-4553-9664-df0f0a9874a8;e4f14acd-0d87-4d2c-b89b-804676f0d1ab;88cf8673-a1cc-46e8-9911-50599a1368d0;75f59f5c-f6bf-4541-96a7-a0dc5df31afe;bb8f32c7-7a9b-447c-909b-dd45b3af0515;5a3619fc-e7bb-4a55-97c6-c1113f4fb8ef;580b89cc-2683-45b2-83bc-de5d50b4b1d9;64f736fa-a467-518b-8d94-b17ad55646c0;fe16942d-48e1-5b50-a145-bd312afc51da;50615813-861c-41e2-ac36-3e5c72cdd394,8
94c33343-0736-4100-9c61-704f098b2453,60fa2f94a6737e546a9ca862,82c608c3-3de2-4ea6-b5e2-358ab7f7cc11,Class1A,class,7565ae11-8130-4b7d-ac24-1d9dd6f792f2,60f4f9af5e7e198d99fbcbe6,1627009200,0,023eeeb1-5f72-4fa3-a2a7-63603607ac2b,None Specified,null,null,5e9a201e-9c2f-4a92-bb6f-1ccf8177bb71,None Specified,a0418673-dcf7-49f6-845d-d5d95e0a1dcb;051347df-2182-42d8-bfab-6fc6e3c5ba39;9ef4b814-2f96-4a73-9a13-f64af4e0ead9;0dd198d4-433c-4834-9044-597ee70e394b;677c1e9a-9a6e-444f-8018-0eab18f4ee1a;b2f7136b-7eaa-440a-8942-b18218ab4239;78d4cf94-8d7c-4731-94b6-fab7e9bcbb6a;88714aa2-d9ab-46a4-80b6-539922503975;b9309a10-669d-4313-8aab-849c9a19d566;26460bd1-51ab-48c6-86b3-01cf366da10e,13
b4e517f0-e128-4c57-9cfa-265401fe3959,60fe565cfe0d321968f72fde,2e57dc87-2c90-403f-8daf-1aa3af3809af,Eds Team Test,live,75004121-0c0d-486c-ba65-4c57deacb44b,60f8ffa02dd069c109c30a0c,1627281600,0,145edddc-2019-43d9-97e1-c5830e7ed689;7965d220-619d-400f-8cab-42bd98c7d23c;bb7982cd-020f-4e1a-93fc-4a6874917f07;fe0b81a4-5b02-4548-8fb0-d49cd4a4604a,6 - 7 year(s);3 - 4 year(s);4 - 5 year(s);5 - 6 year(s),0ecb8fa9-d77e-4dd3-b220-7e79704f1b03;66fcda51-33c8-4162-a8d1-0337e1d6ade3;a9f0217d-f7ec-4add-950d-4e8986ab2c82,PreK-1;PreK-2;Kindergarten,20d6ca2f-13df-4a7a-8dcb-955908db7baa,Language/Literacy,aa41fe5c-620d-4070-8a52-1afc3e98a43c;3a93824d-6bf7-425d-8bf1-54f94927ee89,15
